"","participant","order","gender","age","language","trial_type","response_type","guess_type","guess","card_type","card","logical_training","response","duration","aim","comments"
"30","anon1",6,"male","30","English","XY_XandY","quinary","XandY","catanddog","XY","CATDOG","No","Right",3221,"to assess perceptions of language","no"
"31","anon1",7,"male","30","English","X_X","quinary","X","dog","X","DOG","No","Right",2452,"to assess perceptions of language","no"
"32","anon1",8,"male","30","English","XY_XandY","quinary","XandY","catandele","XY","CATELE","No","Right",3473,"to assess perceptions of language","no"
"33","anon1",9,"male","30","English","X_XorY","quinary","XorY","catordog","X","CAT","No","Right",6062,"to assess perceptions of language","no"
"34","anon1",10,"male","30","English","X_XandY","quinary","XandY","dogandele","X","DOG","No","Wrong",6459,"to assess perceptions of language","no"
"35","anon1",11,"male","30","English","XY_XorY","quinary","XorY","catorele","XY","CATELE","No","Right",3228,"to assess perceptions of language","no"
"36","anon1",12,"male","30","English","XY_XorY","quinary","XorY","catordog","XY","CATDOG","No","Kinda Right",5046,"to assess perceptions of language","no"
"37","anon1",13,"male","30","English","XY_X","quinary","X","dog","XY","DOGELE","No","Kinda Right",3800,"to assess perceptions of language","no"
"38","anon1",14,"male","30","English","X_XandY","quinary","XandY","catanddog","X","DOG","No","Wrong",5854,"to assess perceptions of language","no"
"39","anon1",15,"male","30","English","X_XandY","quinary","XandY","catandele","X","CAT","No","Wrong",2865,"to assess perceptions of language","no"
"40","anon1",16,"male","30","English","XY_XorY","quinary","XorY","dogorele","XY","DOGELE","No","Kinda Right",4843,"to assess perceptions of language","no"
"41","anon1",17,"male","30","English","XY_Z","quinary","Z","ele","XY","CATDOG","No","Wrong",3011,"to assess perceptions of language","no"
"42","anon1",18,"male","30","English","X_X","quinary","X","ele","X","ELE","No","Right",2579,"to assess perceptions of language","no"
"43","anon1",19,"male","30","English","X_XorY","quinary","XorY","catorele","X","CAT","No","Right",3524,"to assess perceptions of language","no"
"44","anon1",20,"male","30","English","X_Z","quinary","Z","dog","X","ELE","No","Wrong",4004,"to assess perceptions of language","no"
"45","anon1",21,"male","30","English","XY_X","quinary","X","ele","XY","DOGELE","No","Kinda Right",4923,"to assess perceptions of language","no"
"46","anon1",22,"male","30","English","X_Z","quinary","Z","ele","X","DOG","No","Wrong",2650,"to assess perceptions of language","no"
"47","anon1",23,"male","30","English","XY_X","quinary","X","cat","XY","CATELE","No","Kinda Right",4213,"to assess perceptions of language","no"
"48","anon1",24,"male","30","English","X_XorY","quinary","XorY","catorele","X","ELE","No","Right",3173,"to assess perceptions of language","no"
"49","anon10",1,"female","59","english","XY_XandY","quinary","XandY","catanddog","XY","CATDOG","No","Right",11432,"I have no idea","no"
"50","anon10",2,"female","59","english","X_XorY","quinary","XorY","catorele","X","ELE","No","Right",9183,"I have no idea","no"
"51","anon10",3,"female","59","english","X_XorY","quinary","XorY","dogorele","X","DOG","No","Right",4096,"I have no idea","no"
"52","anon10",4,"female","59","english","XY_X","quinary","X","dog","XY","DOGELE","No","Kinda Right",5017,"I have no idea","no"
"53","anon10",5,"female","59","english","XY_XandY","quinary","XandY","dogandele","XY","DOGELE","No","Right",4145,"I have no idea","no"
"54","anon10",6,"female","59","english","XY_XandY","quinary","XandY","catandele","XY","CATELE","No","Right",5679,"I have no idea","no"
"55","anon10",7,"female","59","english","X_X","quinary","X","dog","X","DOG","No","Right",3080,"I have no idea","no"
"56","anon10",8,"female","59","english","X_X","quinary","X","ele","X","ELE","No","Right",2904,"I have no idea","no"
"57","anon10",9,"female","59","english","XY_X","quinary","X","ele","XY","CATELE","No","Kinda Right",3944,"I have no idea","no"
"58","anon10",10,"female","59","english","XY_XorY","quinary","XorY","catordog","XY","CATDOG","No","Kinda Right",4801,"I have no idea","no"
"59","anon10",11,"female","59","english","X_Z","quinary","Z","cat","X","ELE","No","Wrong",3647,"I have no idea","no"
"60","anon10",12,"female","59","english","X_XorY","quinary","XorY","catordog","X","CAT","No","Right",5840,"I have no idea","no"
"61","anon10",13,"female","59","english","X_XandY","quinary","XandY","dogandele","X","DOG","No","Kinda Wrong",9017,"I have no idea","no"
"62","anon10",14,"female","59","english","XY_Z","quinary","Z","ele","XY","CATDOG","No","Wrong",3208,"I have no idea","no"
"63","anon10",15,"female","59","english","X_XandY","quinary","XandY","catandele","X","CAT","No","Kinda Wrong",5479,"I have no idea","no"
"64","anon10",16,"female","59","english","X_X","quinary","X","cat","X","CAT","No","Right",3928,"I have no idea","no"
"65","anon10",17,"female","59","english","X_XandY","quinary","XandY","catanddog","X","DOG","No","Kinda Right",5680,"I have no idea","no"
"66","anon10",18,"female","59","english","XY_X","quinary","X","cat","XY","CATDOG","No","Kinda Right",3745,"I have no idea","no"
"67","anon10",19,"female","59","english","X_Z","quinary","Z","dog","X","ELE","No","Wrong",3135,"I have no idea","no"
"68","anon10",20,"female","59","english","XY_XorY","quinary","XorY","catorele","XY","CATELE","No","Kinda Right",8583,"I have no idea","no"
"69","anon10",21,"female","59","english","XY_Z","quinary","Z","cat","XY","DOGELE","No","Wrong",3409,"I have no idea","no"
"70","anon10",22,"female","59","english","XY_Z","quinary","Z","dog","XY","CATELE","No","Wrong",2887,"I have no idea","no"
"71","anon10",23,"female","59","english","X_Z","quinary","Z","ele","X","DOG","No","Wrong",2688,"I have no idea","no"
"72","anon10",24,"female","59","english","XY_XorY","quinary","XorY","dogorele","XY","DOGELE","No","Neither",9161,"I have no idea","no"
"73","anon11",1,"female","22","English","X_XorY","true-false","XorY","catorele","X","ELE","No","True",16232,"Understanding perceptions of english",""
"74","anon11",2,"female","22","English","X_X","true-false","X","dog","X","DOG","No","True",3500,"Understanding perceptions of english",""
"75","anon11",3,"female","22","English","X_X","true-false","X","cat","X","CAT","No","True",3080,"Understanding perceptions of english",""
"76","anon11",4,"female","22","English","X_Z","true-false","Z","cat","X","DOG","No","False",1950,"Understanding perceptions of english",""
