"","Estimate","Est.Error","X2.5.ile","X97.5.ile"
"Intercept",-8.59771203139802,2.48189537687011,-13.9815130885735,-4.53090554720062
"definitionweak",-0.148705536025721,2.37994708983467,-4.8558903513614,4.76973432168398
"response_typequaternary",-1.83033478843884,2.94806481927778,-8.07664834988208,4.19832639320961
"response_typequinary",-4.04692056643506,3.35304473986105,-10.9045923444771,2.37799140812887
"response_typeternary",-1.44915454384841,2.94709067712154,-7.30831761097872,4.56011829469074
"trial_typescalar",6.09003776034848,2.88483310136052,0.999927560045379,12.292514152645
"definitionweak:response_typequaternary",14.0258986960779,3.77286895029216,7.24260624200883,21.8775201804522
"definitionweak:response_typequinary",17.278758697774,3.94897504108514,10.6427223112558,25.7980344789283
"definitionweak:response_typeternary",3.80664413683376,2.70282777434145,-1.48601782463304,9.21852560765709
"definitionweak:trial_typescalar",0.900880949578782,2.68014032526219,-4.00712592041812,6.43095918199021
"response_typequaternary:trial_typescalar",-5.67068315144119,3.95374987934849,-13.6643214990667,1.53568695270253
"response_typequinary:trial_typescalar",-2.30961611753621,3.65791006309739,-9.29902574567338,4.60865891864194
"response_typeternary:trial_typescalar",-1.30982567208826,3.11299653583294,-7.69559326623054,4.65037341544345
"definitionweak:response_typequaternary:trial_typescalar",-3.29047210511067,4.32285685593049,-12.0675867996936,4.55426780739332
"definitionweak:response_typequinary:trial_typescalar",-7.74345559009016,4.22625372507668,-16.593238058663,-0.161288273199401
"definitionweak:response_typeternary:trial_typescalar",-1.44045065235173,2.93811922829732,-6.9976400527864,4.21533908229383
