participant,gender,age,language,logical_training,card_type,guess_type,card,guess,response,aim,comments,type
anon15,female,25,english,Yes,XY,X,dogele,ele,2,unsure,no,ternary
anon15,female,25,english,Yes,X,Z,dog,ele,0,unsure,no,ternary
anon15,female,25,english,Yes,X,XorY,dog,dogorele,1,unsure,no,ternary
anon15,female,25,english,Yes,XY,Z,catele,dog,0,unsure,no,ternary
anon15,female,25,english,Yes,X,XandY,ele,dogandele,0,unsure,no,ternary
anon15,female,25,english,Yes,XY,XorY,catele,catorele,1,unsure,no,ternary
anon15,female,25,english,Yes,X,X,ele,ele,1,unsure,no,ternary
anon15,female,25,english,Yes,X,X,cat,cat,1,unsure,no,ternary
anon15,female,25,english,Yes,XY,XorY,catdog,catordog,2,unsure,no,ternary
anon15,female,25,english,Yes,X,XorY,dog,catordog,1,unsure,no,ternary
anon15,female,25,english,Yes,X,XandY,cat,catanddog,0,unsure,no,ternary
anon15,female,25,english,Yes,X,XandY,ele,catandele,0,unsure,no,ternary
anon15,female,25,english,Yes,XY,Z,dogele,cat,0,unsure,no,ternary
anon17,female,30,English,No,X,XorY,dog,catordog,1,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,X,Z,cat,ele,0,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,X,X,ele,ele,1,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,XY,XorY,dogele,dogorele,2,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,X,XandY,ele,dogandele,0,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,X,XorY,ele,dogorele,1,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,XY,XorY,catdog,catordog,2,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,XY,XandY,dogele,dogandele,1,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,X,Z,ele,dog,0,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,XY,X,catele,cat,1,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,XY,XorY,catele,catorele,2,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,X,XandY,cat,catandele,0,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,XY,XandY,catele,catandele,1,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,X,XandY,cat,catanddog,0,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,X,XorY,cat,catorele,1,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,XY,XandY,catdog,catanddog,1,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,XY,Z,dogele,cat,0,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,X,Z,ele,cat,0,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,X,X,cat,cat,1,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,XY,X,catdog,dog,1,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,XY,X,catdog,cat,1,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,XY,Z,catele,dog,0,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,X,X,dog,dog,1,To interpret how we interpreted language,,ternary
anon17,female,30,English,No,XY,Z,catdog,ele,0,To interpret how we interpreted language,,ternary
anon18,male,34,English,Yes,X,XorY,cat,catordog,1,Not sure,,ternary
anon18,male,34,English,Yes,X,XandY,ele,catandele,2,Not sure,,ternary
anon18,male,34,English,Yes,XY,X,catele,cat,0,Not sure,,ternary
anon18,male,34,English,Yes,XY,XandY,catele,catandele,0,Not sure,,ternary
anon18,male,34,English,Yes,XY,XorY,catele,catorele,1,Not sure,,ternary
anon18,male,34,English,Yes,XY,X,dogele,dog,0,Not sure,,ternary
anon18,male,34,English,Yes,XY,X,catdog,cat,1,Not sure,,ternary
anon18,male,34,English,Yes,X,XandY,ele,dogandele,0,Not sure,,ternary
anon18,male,34,English,Yes,XY,XorY,dogele,dogorele,1,Not sure,,ternary
anon18,male,34,English,Yes,X,XorY,ele,catorele,1,Not sure,,ternary
anon18,male,34,English,Yes,X,X,dog,dog,1,Not sure,,ternary
